Range : 1013,2927,300,280
1013,3197,100,10
1113,2927,10,280
1113,2927,100,10
1213,2927,10,100
1213,3027,100,10

Range : 310,3064,500,210
310,3064,200,10
510,3064,10,200
510,3264,200,10
710,3174,10,100
710,3174,100,10

Range : 4858,3518,410,300
4858,3518,200,10
5058,3518,10,100
5058,3618,100,10
5158,3618,10,100
5158,3718,100,10
5258,3718,10,100

Range : 4957,622,410,400
4957,622,100,10
5057,622,10,200
5057,822,300,10
5357,822,10,200

Range : 4286,2544,110,730
4286,3264,100,10
4386,2544,10,730

Range : 520,1295,510,210
520,1475,300,10
820,1295,10,190
820,1295,100,10
920,1295,10,200
920,1495,100,10
1020,1405,10,100

Range : 4091,439,300,310
4091,439,100,10
4191,439,10,200
4191,639,100,10
4291,639,10,100
4291,739,100,10

Range : 3633,788,700,190
3633,868,100,10
3733,868,10,100
3733,968,300,10
4033,878,10,100
4033,878,200,10
4233,788,10,100
4233,788,100,10

Range : 2297,1784,410,200
2297,1964,100,10
2397,1784,10,190
2397,1784,300,10
2697,1784,10,200

Range : 2033,256,300,280
2033,526,200,10
2233,256,10,280
2233,256,100,10

Range : 4713,1941,310,210
4713,1941,200,10
4913,1941,10,200
4913,2141,100,10
5013,2051,10,100

Range : 1271,2442,400,280
1271,2712,200,10
1471,2622,10,100
1471,2622,100,10
1571,2442,10,190
1571,2442,100,10

Range : 1732,752,400,310
1732,752,100,10
1832,752,10,100
1832,852,200,10
2032,852,10,200
2032,1052,100,10

Range : 2225,3606,410,370
2225,3766,100,10
2325,3766,10,200
2325,3966,200,10
2525,3786,10,190
2525,3786,100,10
2625,3606,10,190

Range : 3793,521,200,410
3793,521,100,10
3893,521,10,400
3893,921,100,10

Range : 553,2811,600,110
553,2811,300,10
853,2811,10,100
853,2911,300,10

Range : 1546,1683,410,550
1546,2223,200,10
1746,1953,10,280
1746,1953,200,10
1946,1683,10,280

Range : 3490,859,110,280
3490,1129,100,10
3590,859,10,280

Range : 3725,239,310,190
3725,419,100,10
3825,239,10,190
3825,239,200,10
4025,239,10,100

Range : 1978,4006,310,300
1978,4006,100,10
2078,4006,10,200
2078,4206,200,10
2278,4206,10,100

Range : 1725,5337,410,410
1725,5337,100,10
1825,5337,10,100
1825,5437,100,10
1925,5437,10,200
1925,5637,100,10
2025,5637,10,100
2025,5737,100,10
2125,5647,10,100

Range : 553,5318,210,400
553,5318,200,10
753,5318,10,400

Range : 2535,1800,210,460
2535,2250,100,10
2635,2160,10,100
2635,2160,100,10
2735,1800,10,370

Range : 1369,3676,410,210
1369,3766,100,10
1469,3676,10,100
1469,3676,200,10
1669,3676,10,200
1669,3876,100,10
1769,3786,10,100

Range : 1101,1187,400,410
1101,1187,200,10
1301,1187,10,100
1301,1287,100,10
1401,1287,10,300
1401,1587,100,10

Range : 3648,4976,500,310
3648,4976,200,10
3848,4976,10,100
3848,5076,200,10
4048,5076,10,200
4048,5276,100,10

Range : 1838,2986,400,210
1838,2986,200,10
2038,2986,10,200
2038,3186,100,10
2138,3096,10,100
2138,3096,100,10

Range : 1025,4764,400,280
1025,4834,100,10
1125,4834,10,200
1125,5034,100,10
1225,4854,10,190
1225,4854,100,10
1325,4764,10,100
1325,4764,100,10

Range : 4847,1264,510,410
4847,1264,100,10
4947,1264,10,100
4947,1364,200,10
5147,1364,10,300
5147,1664,200,10
5347,1574,10,100

Range : 150,645,510,190
150,725,200,10
350,725,10,100
350,825,100,10
450,735,10,100
450,735,100,10
550,645,10,100
550,645,100,10
650,645,10,100

Range : 1492,915,400,210
1492,1005,100,10
1592,915,10,100
1592,915,100,10
1692,915,10,200
1692,1115,200,10

Range : 3330,3094,600,110
3330,3184,100,10
3430,3094,10,100
3430,3094,100,10
3530,3094,10,100
3530,3194,300,10
3830,3104,10,100
3830,3104,100,10

Range : 3967,3212,400,190
3967,3292,100,10
4067,3292,10,100
4067,3392,200,10
4267,3212,10,190
4267,3212,100,10

Range : 1045,5225,500,280
1045,5295,100,10
1145,5295,10,200
1145,5495,100,10
1245,5405,10,100
1245,5405,200,10
1445,5225,10,190
1445,5225,100,10

Range : 2090,4682,600,410
2090,4682,100,10
2190,4682,10,100
2190,4782,100,10
2290,4782,10,100
2290,4882,200,10
2490,4882,10,100
2490,4982,100,10
2590,4982,10,100
2590,5082,100,10

Range : 243,4786,310,310
243,4786,100,10
343,4786,10,300
343,5086,200,10
543,4996,10,100

Range : 3200,1889,700,190
3200,2069,100,10
3300,1889,10,190
3300,1889,600,10

Range : 404,4553,500,310
404,4553,300,10
704,4553,10,300
704,4853,200,10

Range : 4950,5408,310,280
4950,5678,100,10
5050,5588,10,100
5050,5588,200,10
5250,5408,10,190

Range : 1383,383,210,410
1383,383,100,10
1483,383,10,400
1483,783,100,10
1583,693,10,100

Range : 3806,2669,510,190
3806,2849,100,10
3906,2759,10,100
3906,2759,100,10
4006,2669,10,100
4006,2669,300,10
4306,2669,10,100

Range : 2122,1312,310,400
2122,1492,200,10
2322,1312,10,190
2322,1312,100,10
2422,1312,10,400

Range : 1000,2014,610,280
1000,2284,100,10
1100,2104,10,190
1100,2104,500,10
1600,2014,10,100

Range : 5141,2126,610,200
5141,2126,500,10
5641,2126,10,100
5641,2226,100,10
5741,2226,10,100

Range : 2426,2709,400,190
2426,2889,100,10
2526,2709,10,190
2526,2709,300,10

Range : 3621,3034,200,10
3621,3034,200,10

Range : 4243,1828,300,310
4243,1828,100,10
4343,1828,10,300
4343,2128,100,10
4443,1858,10,280
4443,1858,100,10

Range : 3611,39,300,550
3611,579,100,10
3711,39,10,550
3711,39,200,10

Range : 2981,536,410,510
2981,536,100,10
3081,536,10,100
3081,636,200,10
3281,636,10,400
3281,1036,100,10
3381,946,10,100

Range : 2133,1982,310,550
2133,2522,100,10
2233,2252,10,280
2233,2252,100,10
2333,1982,10,280
2333,1982,100,10
2433,1982,10,100

Range : 1638,4641,500,280
1638,4811,100,10
1738,4811,10,100
1738,4911,200,10
1938,4731,10,190
1938,4731,100,10
2038,4641,10,100
2038,4641,100,10

Range : 2684,1234,410,410
2684,1234,100,10
2784,1234,10,400
2784,1634,200,10
2984,1544,10,100
2984,1544,100,10
3084,1454,10,100

Range : 245,4624,210,100
245,4714,200,10
445,4624,10,100

Range : 4929,3953,410,210
4929,4133,100,10
5029,4043,10,100
5029,4043,100,10
5129,3953,10,100
5129,3953,100,10
5229,3953,10,200
5229,4153,100,10
5329,4063,10,100

Range : 3611,554,210,190
3611,734,200,10
3811,554,10,190

Range : 5191,5141,500,210
5191,5141,200,10
5391,5141,10,100
5391,5241,100,10
5491,5241,10,100
5491,5341,100,10
5591,5251,10,100
5591,5251,100,10

Range : 4406,920,810,110
4406,920,600,10
5006,920,10,100
5006,1020,200,10
5206,930,10,100

Range : 4521,4276,210,300
4521,4546,100,10
4621,4276,10,280
4621,4276,100,10
4721,4276,10,300

Range : 4545,1985,310,280
4545,2055,200,10
4745,2055,10,200
4745,2255,100,10
4845,1985,10,280

Range : 5127,4167,400,310
5127,4437,200,10
5327,4167,10,280
5327,4167,100,10
5427,4167,10,300
5427,4467,100,10

